学号,科目,成绩
20230090,数据结构,71
20230090,数据库原理,59
20230090,线性代数,86
20230091,高等数学,92
20230091,操作系统,89
20230091,数据结构,97
20230091,计算机网络,72
20230091,线性代数,83
20230091,数据库原理,60
20230092,线性代数,72
20230092,数据库原理,82
20230092,高等数学,85
20230092,数据结构,100
20230092,概率统计,91
20230092,操作系统,81
20230093,概率统计,62
20230093,高等数学,67
20230093,数据结构,67
20230093,数据库原理,54
20230093,线性代数,75
20230093,操作系统,71
20230093,计算机网络,79
20230094,数据库原理,98
20230094,操作系统,69
20230094,高等数学,93
20230094,线性代数,63
20230094,数据结构,76
20230094,概率统计,85
20230094,计算机网络,66
20230095,高等数学,82
20230095,数据结构,72
20230095,线性代数,100
20230095,操作系统,64
20230095,概率统计,79
20230095,计算机网络,100
20230095,数据库原理,81
20230096,操作系统,88
20230096,数据库原理,57
20230096,计算机网络,78
20230096,线性代数,69
20230096,高等数学,61
20230097,操作系统,80
20230097,线性代数,70
20230097,数据库原理,74
20230097,计算机网络,71
20230097,高等数学,85
20230097,数据结构,31
20230097,概率统计,38
20230098,概率统计,66
20230098,操作系统,76
20230098,数据库原理,80
20230098,高等数学,62
20230098,数据结构,73
20230099,数据结构,77
20230099,操作系统,73
20230099,计算机网络,53
20230099,高等数学,80
20230099,线性代数,66
20230099,数据库原理,71
20230099,概率统计,68
20230100,数据结构,99
20230100,数据库原理,69
20230100,计算机网络,78
20230100,概率统计,80
20230100,操作系统,100
20230101,操作系统,89
20230101,计算机网络,66
20230101,线性代数,88
20230101,概率统计,86
20230101,数据结构,62
20230101,数据库原理,100
20230101,高等数学,85
20230102,数据库原理,83
20230102,概率统计,88
20230102,高等数学,74
20230102,计算机网络,70
20230102,线性代数,69
20230102,操作系统,71
20230102,数据结构,54
20230103,高等数学,61
20230103,计算机网络,58
20230103,线性代数,75
20230103,概率统计,59
20230103,操作系统,84
20230104,概率统计,69
20230104,数据结构,56
20230104,操作系统,99
20230104,数据库原理,88
20230104,计算机网络,76
20230105,操作系统,90
20230105,概率统计,77
20230105,数据库原理,88
20230105,计算机网络,91
20230105,数据结构,90
20230105,线性代数,67
20230105,高等数学,89
20230106,计算机网络,84
20230106,概率统计,45
20230106,数据库原理,80
20230106,数据结构,77
20230106,操作系统,47
20230106,高等数学,69
20230107,线性代数,69
20230107,操作系统,91
20230107,高等数学,94
20230107,概率统计,94
20230107,计算机网络,47
20230107,数据结构,69
20230107,数据库原理,100
20230108,计算机网络,48
20230108,概率统计,90
20230108,操作系统,78
20230108,数据库原理,68
20230108,数据结构,95
20230109,高等数学,97
20230109,线性代数,64
20230109,数据库原理,80
20230109,计算机网络,87
20230109,操作系统,56
20230109,概率统计,62
20230110,高等数学,70
20230110,数据库原理,85
20230110,操作系统,71
20230110,数据结构,52
20230110,线性代数,49
20230110,计算机网络,71
20230111,概率统计,93
20230111,高等数学,87
20230111,操作系统,79
20230111,数据结构,100
20230111,数据库原理,52
20230111,计算机网络,57
20230112,线性代数,66
20230112,高等数学,76
20230112,计算机网络,71
20230112,数据结构,69
20230112,概率统计,90
20230112,操作系统,80
20230113,数据库原理,77
20230113,数据结构,76
20230113,高等数学,70
20230113,概率统计,53
20230113,计算机网络,60
20230114,数据结构,60
20230114,概率统计,81
20230114,高等数学,67
20230114,计算机网络,48
20230114,数据库原理,42
20230114,线性代数,79
20230115,线性代数,85
20230115,操作系统,53
20230115,数据结构,71
20230115,数据库原理,59
20230115,概率统计,78
20230116,计算机网络,74
20230116,概率统计,74
20230116,数据库原理,56
20230116,线性代数,85
20230116,高等数学,89
20230116,数据结构,75
20230116,操作系统,66
20230117,数据结构,90
20230117,线性代数,74
20230117,概率统计,63
20230117,数据库原理,83
20230117,高等数学,77
20230117,计算机网络,98
20230117,操作系统,87
20230118,操作系统,57
20230118,高等数学,89
20230118,计算机网络,76
20230118,概率统计,79
20230118,数据库原理,68
20230119,线性代数,100
20230119,高等数学,55
20230119,概率统计,98
20230119,操作系统,39
20230119,数据库原理,71
20230119,计算机网络,90
20230119,数据结构,59
20230120,线性代数,89
20230120,操作系统,89
20230120,高等数学,59
20230120,计算机网络,86
20230120,数据结构,70
20230120,概率统计,88
20230121,数据库原理,56
20230121,操作系统,57
20230121,计算机网络,67
20230121,概率统计,78
20230121,线性代数,90
20230121,高等数学,89
20230122,数据库原理,32
20230122,数据结构,73
20230122,计算机网络,58
20230122,操作系统,65
20230122,概率统计,88
20230122,线性代数,79
20230122,高等数学,93
20230123,数据结构,82
20230123,数据库原理,66
20230123,高等数学,59
20230123,计算机网络,70
20230123,概率统计,98
20230123,操作系统,88
20230123,线性代数,50
20230124,计算机网络,100
20230124,数据库原理,100
20230124,数据结构,70
20230124,操作系统,100
20230124,高等数学,67
20230124,线性代数,63
20230125,线性代数,64
20230125,高等数学,87
20230125,数据结构,74
20230125,概率统计,89
20230125,操作系统,76
20230125,计算机网络,90
20230125,数据库原理,54
20230126,数据库原理,59
20230126,概率统计,61
20230126,数据结构,100
20230126,计算机网络,100
20230126,操作系统,90
20230127,数据结构,75
20230127,线性代数,78
20230127,计算机网络,92
20230127,概率统计,49
20230127,操作系统,71
20230127,数据库原理,79
20230128,概率统计,86
20230128,数据结构,77
20230128,计算机网络,80
20230128,高等数学,52
20230128,线性代数,77
20230128,数据库原理,79
20230129,数据结构,91
20230129,概率统计,65
20230129,线性代数,84
20230129,高等数学,67
20230129,计算机网络,49
20230129,数据库原理,92
20230129,操作系统,60
20230130,概率统计,85
20230130,数据库原理,72
20230130,数据结构,68
20230130,高等数学,80
20230130,操作系统,66
20230131,数据库原理,96
20230131,数据结构,68
20230131,概率统计,73
20230131,高等数学,79
20230131,操作系统,67
20230132,概率统计,55
20230132,高等数学,66
20230132,数据库原理,83
20230132,操作系统,74
20230132,数据结构,73
20230132,线性代数,74
20230132,计算机网络,71
20230133,高等数学,61
20230133,操作系统,50
20230133,数据结构,90
20230133,数据库原理,82
20230133,概率统计,85
20230133,线性代数,94
20230133,计算机网络,85
20230134,线性代数,46
20230134,数据结构,76
20230134,高等数学,55
20230134,操作系统,71
20230134,概率统计,54
20230135,线性代数,72
20230135,高等数学,61
20230135,数据库原理,27
20230135,计算机网络,92
20230135,概率统计,62
20230136,高等数学,97
20230136,计算机网络,45
20230136,数据结构,91
20230136,概率统计,61
20230136,操作系统,96
20230136,数据库原理,71
20230136,线性代数,48
20230137,操作系统,77
20230137,概率统计,96
20230137,计算机网络,75
20230137,数据库原理,46
20230137,线性代数,87
20230137,高等数学,72
20230138,数据结构,79
20230138,数据库原理,74
20230138,高等数学,65
20230138,操作系统,76
20230138,线性代数,64
20230138,概率统计,77
20230139,操作系统,72
20230139,数据结构,76
20230139,概率统计,61
20230139,数据库原理,82
20230139,线性代数,82
20230140,数据结构,69
20230140,概率统计,94
20230140,数据库原理,78
20230140,操作系统,75
20230140,高等数学,43
20230140,计算机网络,75
20230140,线性代数,71
20230141,概率统计,92
20230141,线性代数,94
20230141,数据库原理,40
20230141,操作系统,63
20230141,高等数学,48
20230142,高等数学,64
20230142,计算机网络,75
20230142,数据库原理,58
20230142,线性代数,88
20230142,数据结构,47
20230143,线性代数,57
20230143,数据结构,83
20230143,数据库原理,69
20230143,计算机网络,56
20230143,高等数学,79
20230144,高等数学,76
20230144,数据库原理,80
20230144,概率统计,78
20230144,数据结构,63
20230144,操作系统,90
20230144,计算机网络,76
20230145,高等数学,62
20230145,线性代数,89
20230145,操作系统,89
20230145,计算机网络,67
20230145,数据结构,66
20230145,概率统计,35
20230145,数据库原理,66
20230146,数据结构,69
20230146,线性代数,100
20230146,数据库原理,96
20230146,概率统计,66
20230146,操作系统,58
20230146,计算机网络,86
20230147,线性代数,92
20230147,概率统计,66
20230147,数据库原理,96
20230147,数据结构,74
20230147,操作系统,82
20230147,高等数学,75
20230147,计算机网络,49
20230148,数据库原理,79
20230148,数据结构,46
20230148,线性代数,85
20230148,操作系统,76
20230148,概率统计,67
20230148,计算机网络,86
20230149,概率统计,80
20230149,线性代数,60
20230149,计算机网络,60
20230149,操作系统,67
20230149,高等数学,72
20230149,数据库原理,52
20230150,数据库原理,59
20230150,计算机网络,89
20230150,数据结构,100
20230150,概率统计,90
20230150,高等数学,53
20230150,操作系统,44
20230150,线性代数,40
20230151,概率统计,75
20230151,数据结构,50
20230151,操作系统,74
20230151,高等数学,57
20230151,数据库原理,69
20230151,线性代数,48
20230152,高等数学,57
20230152,操作系统,73
20230152,计算机网络,67
20230152,线性代数,89
20230152,数据库原理,97
20230152,概率统计,84
20230152,数据结构,61
20230153,高等数学,46
20230153,计算机网络,77
20230153,数据结构,79
20230153,数据库原理,59
20230153,操作系统,50
20230154,数据结构,79
20230154,数据库原理,94
20230154,高等数学,40
20230154,计算机网络,96
20230154,线性代数,61
20230154,操作系统,100
20230155,线性代数,89
20230155,操作系统,51
20230155,计算机网络,54
20230155,数据结构,72
20230155,高等数学,72
20230156,数据库原理,34
20230156,数据结构,82
20230156,概率统计,85
20230156,操作系统,53
20230156,计算机网络,84
20230156,高等数学,89
20230156,线性代数,82
20230157,高等数学,84
20230157,计算机网络,72
20230157,操作系统,45
20230157,数据结构,58
20230157,概率统计,62
20230157,数据库原理,71
20230158,数据结构,74
20230158,操作系统,70
20230158,数据库原理,88
20230158,概率统计,83
20230158,计算机网络,100
20230158,线性代数,63
20230158,高等数学,64
20230159,数据库原理,58
20230159,线性代数,63
20230159,高等数学,77
20230159,概率统计,76
20230159,数据结构,31
20230159,操作系统,90
20230160,线性代数,64
20230160,概率统计,57
20230160,操作系统,53
20230160,数据库原理,95
20230160,数据结构,100
20230160,计算机网络,62
20230160,高等数学,72
20230161,概率统计,64
20230161,计算机网络,83
20230161,操作系统,68
20230161,数据库原理,73
20230161,高等数学,67
20230161,线性代数,95
20230162,高等数学,65
20230162,数据结构,88
20230162,线性代数,72
20230162,计算机网络,54
20230162,概率统计,64
20230162,数据库原理,53
20230162,操作系统,78
20230163,线性代数,85
20230163,高等数学,75
20230163,计算机网络,74
20230163,操作系统,60
20230163,数据库原理,73
20230163,概率统计,73
20230164,计算机网络,54
20230164,数据库原理,100
20230164,操作系统,87
20230164,数据结构,64
20230164,高等数学,45
20230165,操作系统,71
20230165,高等数学,71
20230165,数据库原理,59
20230165,数据结构,84
20230165,计算机网络,83
20230165,线性代数,91
20230165,概率统计,87
20230166,操作系统,94
20230166,高等数学,39
20230166,概率统计,91
20230166,数据结构,70
20230166,计算机网络,81
20230166,线性代数,92
20230166,数据库原理,74
20230167,数据结构,84
20230167,概率统计,82
20230167,数据库原理,90
20230167,计算机网络,78
20230167,操作系统,72
20230168,概率统计,86
20230168,高等数学,74
20230168,操作系统,92
20230168,线性代数,96
20230168,数据库原理,97
20230168,计算机网络,61
20230169,数据结构,85
20230169,计算机网络,74
20230169,高等数学,64
20230169,数据库原理,97
20230169,概率统计,85
20230170,高等数学,100
20230170,操作系统,82
20230170,线性代数,76
20230170,数据结构,67
20230170,计算机网络,63
20230170,概率统计,52
20230170,数据库原理,88
20230171,数据结构,88
20230171,计算机网络,52
20230171,线性代数,90
20230171,操作系统,58
20230171,概率统计,69
20230171,数据库原理,41
20230172,操作系统,43
20230172,数据结构,80
20230172,概率统计,60
20230172,线性代数,97
20230172,计算机网络,65
20230172,高等数学,75
20230172,数据库原理,56
20230173,计算机网络,86
20230173,线性代数,54
20230173,数据库原理,68
20230173,概率统计,69
20230173,高等数学,71
20230174,计算机网络,59
20230174,高等数学,82
20230174,线性代数,71
20230174,操作系统,80
20230174,数据库原理,92
20230174,概率统计,83
20230175,数据库原理,78
20230175,概率统计,87
20230175,计算机网络,68
20230175,操作系统,78
20230175,线性代数,77
20230175,高等数学,91
20230175,数据结构,48
20230176,数据结构,98
20230176,计算机网络,76
20230176,操作系统,71
20230176,高等数学,100
20230176,数据库原理,79
20230176,概率统计,59
20230177,概率统计,79
20230177,计算机网络,100
20230177,操作系统,81
20230177,数据库原理,77
20230177,数据结构,56
20230177,线性代数,87
20230177,高等数学,75
20230178,线性代数,88
20230178,计算机网络,76
20230178,操作系统,70
20230178,数据库原理,51
20230178,概率统计,70
20230178,数据结构,78
20230178,高等数学,84
20230179,数据结构,57
20230179,操作系统,64
20230179,概率统计,86
20230179,线性代数,71
20230179,数据库原理,74
20230179,计算机网络,80
20230179,高等数学,92
20230180,高等数学,77
20230180,数据库原理,43
20230180,计算机网络,71
20230180,线性代数,85
20230180,操作系统,77
20230180,概率统计,91
20230180,数据结构,73
20230181,概率统计,87
20230181,数据结构,69
20230181,数据库原理,71
20230181,计算机网络,61
20230181,操作系统,100
20230181,线性代数,75
20230181,高等数学,81
20230182,线性代数,76
20230182,高等数学,82
20230182,数据结构,84
20230182,计算机网络,98
20230182,操作系统,59
20230183,概率统计,51
20230183,数据结构,68
20230183,操作系统,54
20230183,数据库原理,96
20230183,线性代数,87
20230183,计算机网络,60
20230184,数据库原理,65
20230184,线性代数,67
20230184,高等数学,74
20230184,计算机网络,90
20230184,概率统计,69
20230184,操作系统,64
20230185,数据库原理,50
20230185,高等数学,79
20230185,线性代数,65
20230185,计算机网络,69
20230185,操作系统,97
20230185,概率统计,80
20230186,操作系统,80
20230186,高等数学,66
20230186,线性代数,75
20230186,数据库原理,92
20230186,计算机网络,64
20230186,概率统计,81
20230187,高等数学,62
20230187,线性代数,70
20230187,数据结构,85
20230187,操作系统,72
20230187,概率统计,100
20230188,操作系统,59
20230188,计算机网络,84
20230188,数据结构,61
20230188,高等数学,100
20230188,线性代数,97
20230188,数据库原理,71
20230188,概率统计,88
20230189,线性代数,54
20230189,数据库原理,64
20230189,操作系统,83
20230189,数据结构,83
20230189,高等数学,80
20230189,计算机网络,71
20230190,高等数学,76
20230190,概率统计,74
20230190,数据库原理,59
20230190,操作系统,80
20230190,计算机网络,58
20230191,线性代数,87
20230191,操作系统,66
20230191,数据库原理,86
20230191,计算机网络,67
20230191,数据结构,72
20230191,高等数学,70
20230192,数据结构,88
20230192,计算机网络,62
20230192,数据库原理,99
20230192,线性代数,77
20230192,高等数学,64
20230192,操作系统,100
20230192,概率统计,67
20230193,线性代数,78
20230193,高等数学,92
20230193,操作系统,74
20230193,计算机网络,100
20230193,数据结构,78
20230193,数据库原理,77
20230193,概率统计,90
20230194,操作系统,73
20230194,数据结构,58
20230194,计算机网络,65
20230194,概率统计,100
20230194,高等数学,56
20230194,线性代数,67
20230195,概率统计,68
20230195,高等数学,60
20230195,操作系统,64
20230195,数据库原理,62
20230195,数据结构,53
20230195,计算机网络,81
20230196,高等数学,54
20230196,概率统计,100
20230196,数据库原理,40
20230196,数据结构,72
20230196,操作系统,66
20230197,计算机网络,74
20230197,线性代数,40
20230197,概率统计,73
20230197,操作系统,76
20230197,高等数学,94
20230198,操作系统,77
20230198,概率统计,60
20230198,计算机网络,79
20230198,线性代数,81
20230198,高等数学,88
20230198,数据库原理,68
20230198,数据结构,72
20230199,线性代数,100
20230199,概率统计,89
20230199,操作系统,60
20230199,数据库原理,89
20230199,高等数学,79
20230199,计算机网络,69
20230200,数据结构,80
20230200,线性代数,97
20230200,操作系统,90
20230200,高等数学,85
20230200,概率统计,73
20230200,数据库原理,84
20230200,计算机网络,92
20230201,数据库原理,86
20230201,计算机网络,88
20230201,高等数学,51
20230201,概率统计,58
20230201,操作系统,46
